iso3,name,pop_thousands,group,mean_pct_high,mean_pct_low,mean_pct_medium,pct_inadequate_high,pct_inadequate_low,pct_inadequate_medium
SYC,Seychelles,115,country,225.61,166.25,192,0.51,5.42,1.93
SLE,Sierra Leone,7405,country,311.07,276.56,299.03,0.01,0.03,0.01
SGP,Singapore,5611,country,351.46,250.39,287.89,0.06,0.79,0.29
SVK,Slovakia,5388,country,202.7,149.49,172.65,1.67,13.4,5.72
SVN,Slovenia,2057,country,261.59,191.3,220.87,0.65,4.89,2.06
SLB,Solomon Islands,700,country,305.18,272.53,293.9,0.71,1.34,0.88
ZAF,South Africa,57950,country,328.55,254.83,292.52,0,0.01,0
KOR,South Korea,51388,country,306.75,223.01,257.34,2.89,8.48,5.32
SSD,South Sudan,10007,country,247.75,228.26,241.46,0.44,0.84,0.54
ESP,Spain,46862,country,314.52,229.49,264.92,0.03,0.6,0.17
LKA,Sri Lanka,21998,country,247.23,190.93,219.39,13.57,22.66,17.33
LCA,St. Lucia,175,country,147.52,112.34,129.43,14.46,46.54,27.77
VCT,St. Vincent & Grenadines,103,country,301.55,232.3,267.07,0.02,0.4,0.08
SDN,Sudan,43422,country,280.37,239.77,264.88,0.02,0.12,0.04
SUR,Suriname,592,country,258.04,196.21,226.11,0.24,3.03,0.91
SWE,Sweden,10114,country,274.73,198.74,229.21,0.04,1.15,0.29
CHE,Switzerland,8460,country,249.42,179.07,206.26,0.1,2.9,0.81
SYR,Syria,19584,country,230.69,200.63,219.66,7.38,11.43,8.64
STP,São Tomé & Príncipe,206,country,200.99,172.84,190.39,20.82,27.26,22.99
TWN,Taiwan,23498,country,307.74,222.65,256.77,0.02,0.58,0.15
TJK,Tajikistan,9151,country,304.48,267.44,291.2,0.13,0.38,0.19
TZA,Tanzania,56218,country,192.53,170.73,184.88,0.52,1.85,0.82
THA,Thailand,70794,country,172.7,130.86,150.88,3.23,19.17,8.48
TLS,Timor-Leste,1255,country,400.75,347.64,381.15,0,0,0
TGO,Togo,8095,country,272.46,246.74,263.84,0.13,0.33,0.18
TON,Tonga,103,country,237.79,195.93,220.31,7.8,13.97,9.89
TTO,Trinidad & Tobago,1474,country,124.52,92.23,106.52,33.72,71.58,54.43
TUN,Tunisia,11620,country,329.71,258.03,295.52,0.02,0.23,0.07
TUR,Turkey,83603,country,305.91,226.6,261.7,0.05,0.73,0.21
TKM,Turkmenistan,6563,country,294.63,227.32,261.25,0.24,1.66,0.62
UGA,Uganda,40741,country,231.61,208.03,223.57,0.78,1.71,1.02
UKR,Ukraine,44714,country,206.05,160.54,184.08,1,7.75,2.77
ARE,United Arab Emirates,9297,country,273.8,196.17,225.85,0.3,3.1,1.23
GBR,United Kingdom,66201,country,259.3,188.28,217.24,0.26,3.13,1.11
USA,United States,332631,country,304.79,219.46,252.91,0.24,2.21,0.88
URY,Uruguay,3357,country,361.75,270.13,311.89,0.06,0.46,0.17
UZB,Uzbekistan,31893,country,379.82,306.47,347.54,0.26,0.89,0.44
VUT,Vanuatu,280,country,369.71,323.34,352.92,0,0.01,0.01
VEN,Venezuela,28801,country,228.78,178.32,204.44,1.69,8.23,3.63
VNM,Vietnam,95272,country,362.12,287.17,327.61,0,0.03,0.01
YEM,Yemen,33392,country,282.84,252.54,272.37,0.55,0.87,0.64
ZMB,Zambia,17625,country,246.29,214.26,234.55,0.2,0.73,0.32
ZWE,Zimbabwe,14694,country,195.65,168.05,185.23,0.61,2.89,1.11
