iso3,name,pop_thousands,group,mean_pct_high,mean_pct_low,mean_pct_medium,pct_inadequate_high,pct_inadequate_low,pct_inadequate_medium
SWZ,Eswatini,1145,country,85.28,68.53,77.83,74.12,90.33,82.01
ETH,Ethiopia,110537,country,176.81,159.96,171.15,7.98,13.1,9.45
FJI,Fiji,899,country,122.15,94.94,108.93,49.73,64.69,56.59
FIN,Finland,5471,country,169.15,122.66,141.5,16.81,40.06,28.45
FRA,France,64964,country,208.05,151.16,174.42,6.78,25.32,16.54
GAB,Gabon,2174,country,124.41,95.52,109.89,47.28,63.4,54.87
GMB,Gambia,2353,country,70.78,63.65,68.36,89.59,95.09,91.68
GEO,Georgia,3743,country,197.6,151.98,174.78,12.72,28.01,19.08
DEU,Germany,82695,country,188.34,136.02,156.83,2.59,24.7,11.64
GHA,Ghana,30106,country,188.19,157.05,175.59,2.66,9.28,4.46
GRC,Greece,10634,country,184.35,136.3,157.42,3.46,24.51,11.92
GRD,Grenada,114,country,104.59,80.11,92.2,61.41,75.72,68.53
GTM,Guatemala,16578,country,131.05,103.98,118.6,48.42,62.03,54.33
GIN,Guinea,12430,country,151.7,134.07,145.47,35.51,42.46,37.8
GNB,Guinea-Bissau,1885,country,73.42,66.5,71.1,87.5,93.23,89.58
GUY,Guyana,795,country,198.69,154.91,177.59,10.74,26.19,16.65
HTI,Haiti,10780,country,132.57,116.05,126.6,43.63,53.43,47.01
HND,Honduras,9629,country,137.21,114.33,127.92,46.12,56.81,50.21
HUN,Hungary,9679,country,116.43,85.78,99.07,52.19,69.98,61.8
ISL,Iceland,353,country,205.19,148.13,170.77,1.43,16.27,7.04
IND,India,1358101,country,112.25,92.09,103.74,42.81,67.37,52.86
IDN,Indonesia,266686,country,191.64,150.45,172.16,5.74,17.81,9.84
IRN,Iran,85202,country,142.09,109.14,125.55,30.35,50.6,39.35
IRQ,Iraq,39650,country,162.99,127.4,145.96,11.4,32.49,19.19
IRL,Ireland,4843,country,171.08,122.3,140.73,10.9,36.61,23.85
ISR,Israel,8408,country,185.39,135.38,156.28,16.75,34.8,25.53
ITA,Italy,59785,country,190.05,138.39,159.72,6.44,26.73,15.75
JAM,Jamaica,2788,country,193.5,152.57,174.37,7.29,22.33,12.5
JPN,Japan,125913,country,132.15,96.33,111.19,30.28,62.07,47.64
JOR,Jordan,10346,country,165.46,132.32,150.53,10.26,26.58,15.87
KAZ,Kazakhstan,18657,country,226.01,168.52,194.58,3.18,14.66,7.77
KEN,Kenya,49286,country,115.7,98.52,109.08,51.1,61,54.74
KIR,Kiribati,120,country,156.78,139.26,150.65,19.09,28.23,21.94
KWT,Kuwait,4365,country,121.08,87.68,101.14,47.78,67.98,59.14
KGZ,Kyrgyzstan,6241,country,172.17,145.57,161.74,15.4,26.03,18.95
LAO,Laos,7020,country,296.65,241.07,272.62,0.35,1.41,0.63
LVA,Latvia,1901,country,156.18,115.47,133.36,23.07,46.37,34.66
LBN,Lebanon,5797,country,265.54,199.42,230.15,1.48,7.62,3.63
LSO,Lesotho,2140,country,116.04,103.19,111.56,40.31,54.08,45.01
LBR,Liberia,4838,country,134.2,122.7,130.43,24.03,33.1,26.77
LBY,Libya,6768,country,118.29,89.64,103.34,49.86,66.83,58.21
LTU,Lithuania,2767,country,189.24,138.7,160.16,9.91,30.24,19.41
LUX,Luxembourg,608,country,195.57,139.08,159.83,2.21,20.98,10.48
MDG,Madagascar,26962,country,57.46,53.05,56.04,98.76,99.56,99.09
MWI,Malawi,18176,country,186.91,173.87,182.79,2.91,4.96,3.45
MYS,Malaysia,32675,country,148.93,110.48,127.59,20.39,47.79,33.31
MDV,Maldives,474,country,204.27,153.43,177.08,3.86,15.64,8.17
MLI,Mali,19932,country,185.96,165.11,178.66,5.15,9.99,6.51
MLT,Malta,489,country,183.57,133.2,153.68,12.18,32.38,21.88
MHL,Marshall Islands,44,country,176.84,148.32,165.44,11.28,22.11,14.82
MRT,Mauritania,4248,country,164.05,137.14,153.21,8.58,22.43,12.91
MUS,Mauritius,1275,country,155.86,116.64,134.65,9.35,35.12,19.71
MEX,Mexico,123071,country,173.03,130.31,150.35,24.98,44.02,33.8
FSM,Micronesia (Federated States of),108,country,134.77,117,128.22,28.42,43.24,33.36
MDA,Moldova,3094,country,78.63,61.53,70.47,78.95,91.84,85.94
MNG,Mongolia,3126,country,215.7,168.3,192.91,4.65,13.85,7.88
MNE,Montenegro,606,country,278.03,209.29,241.49,0.55,4.28,1.64
MAR,Morocco,35374,country,179.52,145.36,164.62,17.74,29.49,22.09
MOZ,Mozambique,28350,country,114.2,106.4,111.74,52.02,56.33,53.34
MMR,Myanmar (Burma),51544,country,196.13,163.56,182.93,23.2,31.6,26.23
NAM,Namibia,2536,country,136.5,108.39,123.6,24.81,48.01,34.13
NPL,Nepal,27554,country,143.01,122.94,135.44,16.55,31.11,21.11
NLD,Netherlands,17302,country,195.2,140.8,162.31,3.8,21.42,11.19
NZL,New Zealand,4883,country,208.71,152.09,175.54,2.63,15.63,7.63
NIC,Nicaragua,6308,country,148.08,122.81,137.7,29.61,47.06,36.18
NER,Niger,21638,country,206.77,193.07,202.47,2.6,4.05,2.99
NGA,Nigeria,200330,country,126.16,102.92,116.22,46.25,58.66,51.22
MKD,North Macedonia,1888,country,191.49,145.3,167.49,6.03,22.93,12.75
NOR,Norway,5273,country,209.53,150.46,173.3,6.7,23.7,14.75
OMN,Oman,4528,country,178.42,130.59,150.78,3.48,20.61,9.85
PAK,Pakistan,222488,country,105.44,88.82,98.87,52.47,70.46,59.88
PSE,Palestinian Territories,4759,country,566.94,468.28,526,0,0,0
PAN,Panama,4126,country,184.11,135.6,156.61,14.03,37.68,25.11
PNG,Papua New Guinea,9256,country,132,113.59,125.08,30.3,45.41,35.51
PRY,Paraguay,6333,country,197.34,152.43,175.15,13.58,29.82,20.12
PER,Peru,31699,country,181.14,140.71,161.46,16.45,34.25,23.64
PHL,Philippines,107874,country,199.11,160.28,181.92,22.67,32.71,26.57
POL,Poland,37855,country,173.48,127.79,147.59,17.4,37.36,26.88
PRT,Portugal,10237,country,192.04,141.01,162.84,6.36,23.9,13.86
QAT,Qatar,2752,country,178.37,126.96,145.94,2.82,21.55,10.26
ROU,Romania,19349,country,179.72,132.97,153.57,13.73,34.39,23.44
RUS,Russia,144900,country,164.14,121.59,140.43,15.35,38.82,26.57
RWA,Rwanda,12256,country,156.38,141.33,151.31,32.85,38.39,34.6
WSM,Samoa,203,country,189.1,155.97,175.3,14,25.07,17.87
SAU,Saudi Arabia,29560,country,237.71,171.42,197.6,0.11,2.98,0.76
SEN,Senegal,15639,country,138.42,120.61,131.91,40.61,48.75,43.4
SRB,Serbia,6928,country,209.36,158.86,183.12,8.09,22.56,13.99
SYC,Seychelles,115,country,124.85,92,106.26,30.45,66.52,49.25
SLE,Sierra Leone,7405,country,180.09,160.11,173.12,3.9,8.29,5.09
SGP,Singapore,5611,country,191.32,136.31,156.72,7.04,26.32,16.34
SVK,Slovakia,5388,country,110.62,81.58,94.22,47.06,76.78,63.3
SVN,Slovenia,2057,country,141.36,103.38,119.36,27.46,56.31,42.61
SLB,Solomon Islands,700,country,177.98,158.94,171.4,14.34,20.83,16.32
ZAF,South Africa,57950,country,185.61,143.97,165.26,1.67,14.53,5.3
KOR,South Korea,51388,country,165.07,120,138.48,23.12,44.36,33.96
SSD,South Sudan,10007,country,144.23,132.88,140.57,19.66,26.61,21.71
ESP,Spain,46862,country,169.06,123.36,142.4,10.13,33.78,21.12
LKA,Sri Lanka,21998,country,137.78,106.4,122.26,41.78,57.37,48.89
LCA,St. Lucia,175,country,82.67,62.96,72.53,81.77,90.83,87.5
VCT,St. Vincent & Grenadines,103,country,169.92,130.9,150.49,14.44,38.14,24.18
SDN,Sudan,43422,country,162.95,139.36,153.95,7.93,18.67,11.11
SUR,Suriname,592,country,148.02,112.55,129.7,26.84,55.49,40.16
SWE,Sweden,10114,country,149.04,107.82,124.34,17.14,48.88,33.49
CHE,Switzerland,8460,country,134.44,96.52,111.17,26.49,61.16,45.59
SYR,Syria,19584,country,131.74,114.57,125.44,36.34,47.01,39.97
