iso3,country_name,population_2018_thousands,mean_protein_pct_EAR,pct_inadequate_protein,pct_inadequate_protein_quality_adj
TZA,Tanzania,56218,184.88,0.82,2.53
THA,Thailand,70794,150.88,8.48,9.37
TLS,Timor-Leste,1255,381.15,0,0
TGO,Togo,8095,263.84,0.18,0.18
TON,Tonga,103,220.31,9.89,11.59
TTO,Trinidad & Tobago,1474,106.52,54.43,54.43
TUN,Tunisia,11620,295.52,0.07,0.07
TUR,Turkey,83603,261.7,0.21,0.21
TKM,Turkmenistan,6563,261.25,0.62,0.62
UGA,Uganda,40741,223.57,1.02,2.38
UKR,Ukraine,44714,184.08,2.77,2.77
ARE,United Arab Emirates,9297,225.85,1.23,1.23
GBR,United Kingdom,66201,217.24,1.11,1.11
USA,United States,332631,252.91,0.88,0.88
URY,Uruguay,3357,311.89,0.17,0.17
UZB,Uzbekistan,31893,347.54,0.44,0.44
VUT,Vanuatu,280,352.92,0.01,0.01
VEN,Venezuela,28801,204.44,3.63,3.63
VNM,Vietnam,95272,327.61,0.01,0.01
YEM,Yemen,33392,272.37,0.64,0.69
ZMB,Zambia,17625,234.55,0.32,0.32
ZWE,Zimbabwe,14694,185.23,1.11,1.75
