iso3,sex,age_group,kcal_mean,best_dist,cv,source_final,kcal_country_mean
IDN,Males,40-44,2819.8609548245654,gamma,0.23919836018907903,nearest_country_exact,2256.519437166328
IDN,Males,45-49,2758.5748942314217,gamma,0.24119117664474954,nearest_country_exact,2256.519437166328
IDN,Males,50-54,2679.7127024047973,gamma,0.24317137199154387,nearest_country_exact,2256.519437166328
IDN,Males,55-59,2606.5446504721654,gamma,0.2434496450863874,nearest_country_exact,2256.519437166328
IDN,Males,60-64,2496.2056043953203,gamma,0.24900491348688567,nearest_country_exact,2256.519437166328
IDN,Males,65-69,2413.8874317081804,gamma,0.24960843502974175,nearest_country_exact,2256.519437166328
IDN,Males,70-74,2270.9195377609435,gamma,0.24986373478216972,nearest_country_exact,2256.519437166328
IDN,Males,75-79,2189.830158268653,gamma,0.25183625556495143,nearest_country_exact,2256.519437166328
IDN,Males,80-84,2040.4220714162645,gamma,0.25723693663602015,nearest_country_exact,2256.519437166328
IDN,Males,85-89,1971.1927405278393,gamma,0.25723693663602015,nearest_country_nearest_age,2256.519437166328
IDN,Males,90-94,1914.3391125304038,gamma,0.25723693663602015,nearest_country_nearest_age,2256.519437166328
IDN,Males,95-99,1870.1245002514256,gamma,0.25723693663602015,nearest_country_nearest_age,2256.519437166328
IND,Females,0-0.99,588.9605383338256,gamma,0.2590878715929875,nearest_country_exact,2126.2665255312227
IND,Females,1-4,1034.9180682592582,gamma,0.2590878715929875,nearest_country_exact,2126.2665255312227
IND,Females,5-9,1377.0981063363556,gamma,0.2226726691533522,nearest_country_exact,2126.2665255312227
IND,Females,10-14,1764.8486504225323,gamma,0.2193488896016143,nearest_country_exact,2126.2665255312227
IND,Females,15-19,2026.3413943426754,gamma,0.21820799369914454,nearest_country_exact,2126.2665255312227
IND,Females,20-24,2204.750085865425,gamma,0.18259474893801758,nearest_country_exact,2126.2665255312227
IND,Females,25-29,2198.7795898914715,gamma,0.20028500696150098,nearest_country_exact,2126.2665255312227
IND,Females,30-34,2177.326463676819,gamma,0.20646289567341047,nearest_country_exact,2126.2665255312227
IND,Females,35-39,2139.695219339197,gamma,0.20163498566467344,nearest_country_exact,2126.2665255312227
IND,Females,40-44,2106.6648948381344,log-normal,0.20932862172972508,nearest_country_exact,2126.2665255312227
IND,Females,45-49,2072.9176828276536,gamma,0.19471450768390006,nearest_country_exact,2126.2665255312227
IND,Females,50-54,2014.2720046318884,gamma,0.20624423457441807,nearest_country_exact,2126.2665255312227
IND,Females,55-59,1971.0768572361023,log-normal,0.23144481314741017,nearest_country_exact,2126.2665255312227
IND,Females,60-64,1886.0561385819244,log-normal,0.21206058670627864,nearest_country_exact,2126.2665255312227
IND,Females,65-69,1837.4254858908546,gamma,0.2226649300762998,nearest_country_exact,2126.2665255312227
IND,Females,70-74,1738.655506794867,gamma,0.21455930090609143,nearest_country_exact,2126.2665255312227
IND,Females,75-79,1687.0075066761005,gamma,0.21594999298020195,nearest_country_exact,2126.2665255312227
IND,Females,80-84,1599.6221292222028,gamma,0.2158231048822381,nearest_country_exact,2126.2665255312227
IND,Females,85-89,1545.7485678801709,gamma,0.2181463362516532,nearest_country_exact,2126.2665255312227
IND,Females,90-94,1509.433400612076,gamma,0.21913376691225428,nearest_country_exact,2126.2665255312227
IND,Females,95-99,1482.8764633229155,gamma,0.21913376691225428,nearest_country_nearest_age,2126.2665255312227
IND,Males,0-0.99,678.6249760788561,gamma,0.2503532289517411,nearest_country_exact,2126.2665255312227
IND,Males,1-4,1091.4451833674916,gamma,0.2503532289517411,nearest_country_exact,2126.2665255312227
IND,Males,5-9,1561.4023951380443,log-normal,0.21222830226241748,nearest_country_exact,2126.2665255312227
IND,Males,10-14,2143.397354835591,log-normal,0.18764549925824708,nearest_country_exact,2126.2665255312227
IND,Males,15-19,2740.6181492480755,gamma,0.17453467220713156,nearest_country_exact,2126.2665255312227
IND,Males,20-24,2805.041726773473,gamma,0.1912229946717326,nearest_country_exact,2126.2665255312227
IND,Males,25-29,2786.0923569349948,log-normal,0.1913845989237836,nearest_country_exact,2126.2665255312227
IND,Males,30-34,2756.6785694217383,gamma,0.19954581268844485,nearest_country_exact,2126.2665255312227
IND,Males,35-39,2715.195392197695,log-normal,0.16235878974786663,nearest_country_exact,2126.2665255312227
IND,Males,40-44,2662.702106806631,gamma,0.17794573732478827,nearest_country_exact,2126.2665255312227
IND,Males,45-49,2605.9288959862088,gamma,0.1840353581467386,nearest_country_exact,2126.2665255312227
IND,Males,50-54,2527.8630561547366,log-normal,0.18163743427556173,nearest_country_exact,2126.2665255312227
IND,Males,55-59,2461.320915541807,gamma,0.16520314089617993,nearest_country_exact,2126.2665255312227
IND,Males,60-64,2352.1721172796288,gamma,0.16854932182875407,nearest_country_exact,2126.2665255312227
IND,Males,65-69,2280.590364473632,log-normal,0.2017170480563214,nearest_country_exact,2126.2665255312227
IND,Males,70-74,2143.151259123403,gamma,0.18293577531877558,nearest_country_exact,2126.2665255312227
IND,Males,75-79,2071.2057126559107,gamma,0.18336625391211334,nearest_country_exact,2126.2665255312227
IND,Males,80-84,1940.7535855691074,gamma,0.18510318903166434,nearest_country_exact,2126.2665255312227
IND,Males,85-89,1875.0139309741833,log-normal,0.18986272747177838,nearest_country_exact,2126.2665255312227
IND,Males,90-94,1819.1823037482202,gamma,0.19019398615134306,nearest_country_exact,2126.2665255312227
IND,Males,95-99,1777.8275242870575,gamma,0.19019398615134306,nearest_country_nearest_age,2126.2665255312227
IRL,Females,0-0.99,579.998793474758,gamma,0.22773303147119503,nearest_country_nearest_age,2540.115945687926
IRL,Females,1-4,1024.4390432744058,gamma,0.22773303147119503,nearest_country_nearest_age,2540.115945687926
IRL,Females,5-9,1553.533575226081,gamma,0.22773303147119503,nearest_country_nearest_age,2540.115945687926
IRL,Females,10-14,2090.7310624895454,gamma,0.22773303147119503,nearest_country_nearest_age,2540.115945687926
IRL,Females,15-19,2397.22086893167,gamma,0.22773303147119503,nearest_country_exact,2540.115945687926
IRL,Females,20-24,2502.9175460871325,log-normal,0.2290120421500431,nearest_country_exact,2540.115945687926
IRL,Females,25-29,2518.0276083980616,gamma,0.23228337370955066,nearest_country_exact,2540.115945687926
IRL,Females,30-34,2519.0602346926717,gamma,0.22558004812885896,nearest_country_exact,2540.115945687926
IRL,Females,35-39,2501.4318286632542,gamma,0.23409876448497594,nearest_country_exact,2540.115945687926
IRL,Females,40-44,2460.938126110324,log-normal,0.23930073524901166,nearest_country_exact,2540.115945687926
IRL,Females,45-49,2433.8474913813147,gamma,0.23533227959724606,nearest_country_exact,2540.115945687926
IRL,Females,50-54,2406.7357826462926,gamma,0.23337094497532174,nearest_country_exact,2540.115945687926
IRL,Females,55-59,2376.9055271356638,gamma,0.2348816657311197,nearest_country_exact,2540.115945687926
IRL,Females,60-64,2323.6620509451986,gamma,0.23808398278050782,nearest_country_exact,2540.115945687926
IRL,Females,65-69,2284.2852707109287,log-normal,0.24216446467520092,nearest_country_exact,2540.115945687926
IRL,Females,70-74,2199.1462864206146,gamma,0.23807132958591481,nearest_country_exact,2540.115945687926
IRL,Females,75-79,2155.470408959804,log-normal,0.24211556875197196,nearest_country_exact,2540.115945687926
IRL,Females,80-84,2056.686005776426,log-normal,0.24525630349927194,nearest_country_exact,2540.115945687926
IRL,Females,85-89,2015.4863240220784,gamma,0.2511308277363912,nearest_country_exact,2540.115945687926
IRL,Females,90-94,1979.9660868880871,log-normal,0.24109574328420266,nearest_country_exact,2540.115945687926
IRL,Females,95-99,1954.8247977152298,log-normal,0.24109574328420266,nearest_country_nearest_age,2540.115945687926
IRL,Males,0-0.99,668.29887866694,gamma,0.21482891862024336,nearest_country_nearest_age,2540.115945687926
IRL,Males,1-4,1088.4513365372347,gamma,0.21482891862024336,nearest_country_nearest_age,2540.115945687926
IRL,Males,5-9,1771.0700022896374,gamma,0.21482891862024336,nearest_country_nearest_age,2540.115945687926
IRL,Males,10-14,2519.6081588489956,gamma,0.21482891862024336,nearest_country_nearest_age,2540.115945687926
IRL,Males,15-19,3241.0346066733327,gamma,0.21482891862024336,nearest_country_exact,2540.115945687926
IRL,Males,20-24,3296.901796612348,gamma,0.2155303224199488,nearest_country_exact,2540.115945687926
IRL,Males,25-29,3318.8819848833373,gamma,0.2133961272411379,nearest_country_exact,2540.115945687926
IRL,Males,30-34,3295.964003344793,gamma,0.21857481664102185,nearest_country_exact,2540.115945687926
IRL,Males,35-39,3276.5337698013113,gamma,0.21536203398519016,nearest_country_exact,2540.115945687926
IRL,Males,40-44,3237.5152476692524,gamma,0.22175385508545806,nearest_country_exact,2540.115945687926
IRL,Males,45-49,3197.284970191478,gamma,0.21912538503755216,nearest_country_exact,2540.115945687926
IRL,Males,50-54,3146.59144872852,gamma,0.22513504963853906,nearest_country_exact,2540.115945687926
IRL,Males,55-59,3095.128726046107,gamma,0.2243543746381546,nearest_country_exact,2540.115945687926
