Country / Region,Population (thousands),"Mean protein intake (% OPT, Low)","Mean protein intake (% OPT, Central)","Mean protein intake (% OPT, High)","Below optimal intake (% , Low)","Below optimal intake (% , Central)","Below optimal intake (% , High)"
Suriname,592,112.55,129.7,148.02,55.49,40.16,26.84
Sweden,10114,107.82,124.34,149.04,48.88,33.49,17.14
Switzerland,8460,96.52,111.17,134.44,61.16,45.59,26.49
Syria,19584,114.57,125.44,131.74,47.01,39.97,36.34
São Tomé & Príncipe,206,100.19,110.36,116.5,60.42,54.49,51.16
Taiwan,23498,120.16,138.58,166.09,36.88,23.18,10.45
Tajikistan,9151,155.44,169.25,176.97,18.16,13.37,11.26
Tanzania,56218,99.59,107.85,112.31,55.8,45.11,39.72
Thailand,70794,71.42,82.34,94.25,88.59,78.12,63.41
Timor-Leste,1255,199.92,219.19,230.47,2.11,0.99,0.64
Togo,8095,143.3,153.23,158.24,19.25,14.31,12.27
Tonga,103,113.52,127.65,137.78,51.65,42.98,37.56
Trinidad & Tobago,1474,51.6,59.6,69.67,93.45,91.26,88.13
Tunisia,11620,143.85,164.75,183.8,19.02,10.35,5.82
Turkey,83603,126.07,145.6,170.2,31.06,18.67,9.43
Turkmenistan,6563,130.73,150.25,169.44,32.66,21.67,14.35
Uganda,40741,121.91,131.01,135.73,34.16,26.99,23.78
Ukraine,44714,87.19,99.97,111.9,71.43,58.02,46.62
United Arab Emirates,9297,109.34,125.88,152.6,45.49,30.21,14.56
United Kingdom,66201,102.43,118.18,141.06,55.05,40.15,23.63
United States,332631,119.82,138.08,166.41,41.01,28.01,14.66
Uruguay,3357,150.96,174.3,202.16,25.24,14.7,7.34
Uzbekistan,31893,175,198.45,216.88,16.45,10.89,7.91
Vanuatu,280,188.54,205.79,215.58,5.63,3.4,2.54
Venezuela,28801,102.13,117.09,131.03,64.12,51.14,39.79
Vietnam,95272,160.92,183.58,202.92,11.52,5.8,3.12
Yemen,33392,146.56,158.07,164.15,16.84,11.68,9.61
Zambia,17625,125.2,137.05,143.91,29.15,20.4,16.41
Zimbabwe,14694,97.94,107.95,114.03,59.43,47.94,41.24
